name,location,team,division,wins,losses,era,games_played,games_started,quality_starts,complete_games,shutouts,saves,holds,blown_saves,innings_pitched,total_batters_faced,hits,runs,earned_runs,home_runs,walks,intentional_walks,hbp,wild_pitches,balks,strikeouts
Luis Castillo,Seattle,Mariners,AL West,11,12,3.64,30,30,18,0,0,0,0,0,175.1,719,158,73,71,25,47,2,5,0,0,175
Carlos Rodón,New York,Yankees,AL East,16,9,3.96,32,32,16,0,0,0,0,0,175,736,157,81,77,31,57,0,10,3,2,195
Patrick Corbin,Washington,Nationals,NL East,6,13,5.62,32,32,9,0,0,0,0,0,174.2,764,208,114,109,25,54,1,3,3,0,139
Max Fried,Atlanta,Braves,NL East,11,10,3.25,29,29,16,2,1,0,0,0,174.1,714,146,71,63,13,57,0,7,6,0,166
Nestor Cortes,New York,Yankees,AL East,9,10,3.77,31,30,13,0,0,0,0,0,174.1,710,162,74,73,24,39,0,4,2,1,162
Freddy Peralta,Milwaukee,Brewers,NL Central,11,9,3.68,32,32,11,0,0,0,0,0,173.2,725,143,74,71,26,68,0,10,8,1,200
Tanner Bibee,Cleveland,Guardians,AL Central,12,8,3.47,31,31,12,0,0,0,0,0,173.2,710,150,70,67,22,44,0,8,2,0,187
Michael King,San Diego,Padres,NL West,13,9,2.95,31,30,14,0,0,0,0,0,173.2,726,144,71,57,17,63,2,7,1,0,201
Shota Imanaga,Chicago,Cubs,NL Central,15,3,2.91,29,29,19,0,0,0,0,0,173.1,694,149,66,56,27,28,0,3,3,0,174
Griffin Canning,"""Los Angeles""",Angels,AL West,6,13,5.19,32,31,7,0,0,0,0,0,171.2,739,174,105,99,31,66,1,6,6,4,130
Miles Mikolas,St. Louis,Cardinals,NL Central,10,11,5.35,32,32,15,0,0,0,0,0,171.2,720,194,106,102,26,25,0,5,0,1,122
Chris Bassitt,Toronto,Blue Jays,AL East,10,14,4.16,31,31,12,0,0,0,0,0,171,758,180,91,79,18,70,2,16,2,2,168
Nathan Eovaldi,Texas,Rangers,AL West,12,8,3.8,29,29,16,0,0,0,0,0,170.2,696,147,74,72,23,42,0,7,3,0,166
Jose Quintana,New York,Mets,NL East,10,10,3.75,31,31,12,0,0,0,0,0,170.1,717,150,73,71,22,63,0,11,7,0,135
Hunter Brown,Houston,Astros,AL West,11,9,3.49,31,30,19,0,0,0,0,0,170,712,156,71,66,18,60,0,5,4,1,179
Kyle Gibson,St. Louis,Cardinals,NL Central,8,8,4.24,30,30,13,0,0,0,0,0,169.2,722,161,91,80,23,68,1,4,5,0,151
Colin Rea,Milwaukee,Brewers,NL Central,12,6,4.29,32,27,8,0,0,1,1,0,167.2,714,169,83,80,29,43,1,10,2,0,135
Ronel Blanco,Houston,Astros,AL West,13,6,2.8,30,29,14,1,1,0,0,0,167.1,676,114,56,52,22,68,0,2,3,0,166
Michael Wacha,Kansas City,Royals,AL Central,13,8,3.35,29,29,14,0,0,0,0,0,166.2,685,154,65,62,17,45,1,5,3,0,145
Sonny Gray,St. Louis,Cardinals,NL Central,13,9,3.84,28,28,13,0,0,0,0,0,166.1,671,142,79,71,21,39,0,3,7,1,203
