name,location,team,division,games_played,at_bats,plate_appearances,hits,singles,doubles,triples,home_runs,runs_scored,rbi,walks,intentional_walks,strikeouts,hbp,sac_fly,sac_hit,gdp,stolen_bases,caught_stealing,batting_average
Nick Ahmed,San Francisco,Giants,NL West,52,155,172,36,28,6,1,1,13,15,10,0,35,1,3,3,6,1,1,0.232
Kyle Stowers,Miami,Marlins,NL East,50,156,172,29,18,7,2,2,12,15,13,0,61,3,0,0,2,0,0,0.186
Nick Loftin,Kansas City,Royals,AL Central,57,148,171,28,23,4,0,1,15,14,19,0,24,1,2,1,4,1,0,0.189
Brett Baty,New York,Mets,NL East,50,153,171,35,28,3,0,4,15,16,16,1,42,1,0,1,3,0,0,0.229
Harold Ramírez,Tampa Bay,Rays,AL East,48,164,169,44,40,3,0,1,21,13,3,0,33,1,1,0,2,5,2,0.268
Angel Martínez,Cleveland,Guardians,AL Central,43,151,169,35,25,7,0,3,16,11,15,0,33,0,2,1,2,3,1,0.232
Bryan De La Cruz,Pittsburgh,Pirates,NL Central,44,160,168,32,23,6,0,3,17,17,4,0,52,1,3,0,2,2,1,0.2
José Tena,Washington,Nationals,NL East,41,157,164,43,35,5,0,3,14,15,7,0,39,0,0,0,1,6,1,0.274
Nick Martini,Cincinnati,Reds,NL Central,52,146,163,31,20,4,2,5,23,24,9,0,38,4,3,0,1,1,3,0.212
Evan Carter,Texas,Rangers,AL West,45,144,162,27,14,6,2,5,23,15,15,0,43,2,1,0,1,2,0,0.188
Josh Bell,Arizona,Diamondbacks,NL West,41,140,162,39,28,5,1,5,24,22,17,0,32,1,0,0,9,0,1,0.279
Connor Norby,Miami,Marlins,NL East,36,146,162,36,21,8,0,7,29,17,15,0,52,0,1,0,1,3,3,0.247
Gabriel Arias,Cleveland,Guardians,AL Central,53,153,161,34,21,9,1,3,15,15,6,0,53,1,1,0,4,5,2,0.222
Whit Merrifield,Atlanta,Braves,NL East,42,137,161,34,26,5,2,1,23,4,20,0,33,1,0,3,5,6,2,0.248
Pavin Smith,Arizona,Diamondbacks,NL West,60,137,158,37,17,11,0,9,26,36,18,0,31,0,3,0,4,1,0,0.27
Sam Hilliard,Colorado,Rockies,NL West,58,138,158,33,17,5,1,10,26,27,14,1,56,0,2,4,3,5,2,0.239
Reese McGuire,Boston,Red Sox,AL East,53,139,158,29,23,3,0,3,10,18,13,0,39,2,3,1,4,3,0,0.209
Jung Hoo Lee,San Francisco,Giants,NL West,37,145,158,38,32,4,0,2,15,8,10,0,13,1,2,0,2,2,3,0.262
Matt Carpenter,St. Louis,Cardinals,NL Central,59,137,157,32,21,7,0,4,15,15,15,0,51,2,2,0,0,0,2,0.234
Kyle McCann,Sacramento,Athletics,AL West,54,140,157,33,24,4,0,5,13,15,16,1,59,1,0,0,2,0,0,0.236
Miguel Vargas,Chicago,White Sox,AL Central,42,135,157,14,9,3,0,2,11,7,17,0,41,3,2,0,3,2,1,0.104
Tyler Wade,San Diego,Padres,NL West,90,138,156,30,27,3,0,0,28,8,11,0,29,2,0,4,0,8,1,0.217
Austin Barnes,Los Angeles,Dodgers,NL West,54,140,156,37,33,3,0,1,12,11,14,0,36,0,0,2,3,3,0,0.264
James Outman,Los Angeles,Dodgers,NL West,53,136,156,20,12,4,0,4,12,11,16,0,55,4,0,0,0,2,1,0.147
Kyle Manzardo,Cleveland,Guardians,AL Central,53,145,156,34,17,12,0,5,11,15,9,0,41,1,1,0,3,0,0,0.234
Luis Matos,San Francisco,Giants,NL West,45,150,156,32,22,5,0,5,14,25,5,1,24,0,1,0,5,0,0,0.213
Alex Jackson,Tampa Bay,Rays,AL East,58,139,155,17,7,7,0,3,17,12,12,0,53,2,1,1,2,1,0,0.122
Victor Scott II,St. Louis,Cardinals,NL Central,53,145,155,26,15,9,0,2,14,10,6,0,42,2,2,0,0,5,1,0.179
Kris Bryant,Colorado,Rockies,NL West,37,133,155,29,22,5,0,2,9,15,13,0,48,8,1,0,6,0,0,0.218
Luke Maile,Cincinnati,Reds,NL Central,55,135,154,24,18,4,0,2,8,8,13,0,52,4,1,1,4,2,0,0.178
Tommy Edman,Los Angeles,Dodgers,NL West,37,139,153,33,21,5,1,6,20,20,11,0,30,1,2,0,2,6,0,0.237
Luis Arraez,Miami,Marlins,NL East,33,137,148,41,32,8,1,0,22,5,8,0,11,2,0,1,5,0,0,0.299
Martín Maldonado,Chicago,White Sox,AL Central,48,135,147,16,9,3,0,4,9,11,8,0,51,1,0,3,5,0,0,0.119
